37	,
39	,
41	,
43	,
45	,
47	,
49	,
52	,
54	,
56	,
59	,
61	,
63	,
66	,
68	,
71	,
73	,
76	,
79	,
81	,
84	,
87	,
89	,
92	,
95	,
97	,
100	,
32	,
30	,
29	,
27	,
26	,
25	,
23	,
22	,
21	,
20	,
19	,
18	,
37	,
39	,
41	,
43	,
45	,
47	,
49	,
52	,
54	,
56	,
59	,
61	,
63	,
66	,
68	,
71	,
73	,
76	,
79	,
81	,
84	,
87	,
89	,
92	,
95	,
97	,
100	,
32	,
30	,
29	,
27	,
26	,
25	,
23	,
22	,
21	,
20	,
37	,
39	,
41	,
43	,
45	,
47	,
49	,
52	,
54	,
56	,
59	,
61	,
63	,
66	,
68	,
71	,
73	,
76	,
79	,
81	,
84	,
87	,
89	,
92	,
95	,
97	,
100	,
32	,
30	,
29	,
27	,
26	,
25	,
23	,
22	,
21	,
20	,
19	,
18	,
17	,
17	,
16	,
16	,
15	,
15	,
14	,
14	,
14	,
14	,
14	,
14	,
14	,
15	,
15	,
16	,
16	,
17	,
17	,
18	,
19	,
20	,
21	,
22	,
23	,
25	,
26	,
27	,
29	,
30	,
32	,
34	,
35	,
37	,
39	,
41	,
43	,
45	,
47	,
49	,
52	,
54	,
56	,
59	,
61	,
63	,
66	,
19	,
18	,
17	,
17	,
16	,
16	,
15	,
15	,
14	,
14	,
14	,
14	,
14	,
14	,
14	,
15	,
15	,
16	,
16	,
17	,
17	,
18	,
19	,
20	,
21	,
22	,
23	,
25	,
26	,
27	,
29	,
30	,
32	,
34	,
35	,
37	,
39	,
41	,
43	,
45	,
47	,
49	,
52	,
54	,
56	,
59	,
61	,
63	,
66	,
17	,
17	,
16	,
16	,
15	,
15	,
14	,
14	,
14	,
14	,
14	,
14	,
14	,
15	,
15	,
16	,
16	,
17	,
17	,
18	,
19	,
20	,
21	,
22	,
23	,
25	,
26	,
27	,
29	,
30	,
32	,
34	,
35	,
37	,
39	,
41	,
43	,
45	,
47	,
49	,
52	,
54	,
56	,
59	,
61	,
63	,
66	,
